filepath,label,class_name
/mnt/c/Users/gayrobin/Documents/robingit/img-class-data-aug-comp/data/Aster/Aster (326).jpeg,0,Aster
/mnt/c/Users/gayrobin/Documents/robingit/img-class-data-aug-comp/data/Aster/Aster-Valid (105).jpeg,0,Aster
/mnt/c/Users/gayrobin/Documents/robingit/img-class-data-aug-comp/data/Aster/Aster (1146).jpeg,0,Aster
/mnt/c/Users/gayrobin/Documents/robingit/img-class-data-aug-comp/data/Aster/Aster (991).jpeg,0,Aster
/mnt/c/Users/gayrobin/Documents/robingit/img-class-data-aug-comp/data/Aster/Aster-Valid (435).jpeg,0,Aster
/mnt/c/Users/gayrobin/Documents/robingit/img-class-data-aug-comp/data/Aster/Aster (1471).jpeg,0,Aster
/mnt/c/Users/gayrobin/Documents/robingit/img-class-data-aug-comp/data/Aster/Aster (393).jpeg,0,Aster
/mnt/c/Users/gayrobin/Documents/robingit/img-class-data-aug-comp/data/Aster/Aster (367).jpeg,0,Aster
/mnt/c/Users/gayrobin/Documents/robingit/img-class-data-aug-comp/data/Aster/Aster (46).jpeg,0,Aster
/mnt/c/Users/gayrobin/Documents/robingit/img-class-data-aug-comp/data/Aster/Aster (317).jpeg,0,Aster
/mnt/c/Users/gayrobin/Documents/robingit/img-class-data-aug-comp/data/Aster/Aster-Valid (96).jpeg,0,Aster
/mnt/c/Users/gayrobin/Documents/robingit/img-class-data-aug-comp/data/Aster/Aster-Test (97).jpeg,0,Aster
/mnt/c/Users/gayrobin/Documents/robingit/img-class-data-aug-comp/data/Aster/Aster (449).jpeg,0,Aster
/mnt/c/Users/gayrobin/Documents/robingit/img-class-data-aug-comp/data/Aster/Aster-Valid (330).jpeg,0,Aster
/mnt/c/Users/gayrobin/Documents/robingit/img-class-data-aug-comp/data/Aster/Aster (125).jpeg,0,Aster
/mnt/c/Users/gayrobin/Documents/robingit/img-class-data-aug-comp/data/Aster/Aster (431).jpeg,0,Aster
/mnt/c/Users/gayrobin/Documents/robingit/img-class-data-aug-comp/data/Aster/Aster-Valid (171).jpeg,0,Aster
/mnt/c/Users/gayrobin/Documents/robingit/img-class-data-aug-comp/data/Aster/Aster (1456).jpeg,0,Aster
/mnt/c/Users/gayrobin/Documents/robingit/img-class-data-aug-comp/data/Aster/Aster (1235).jpeg,0,Aster
/mnt/c/Users/gayrobin/Documents/robingit/img-class-data-aug-comp/data/Aster/Aster (749).jpeg,0,Aster
/mnt/c/Users/gayrobin/Documents/robingit/img-class-data-aug-comp/data/Aster/Aster (195).jpeg,0,Aster
/mnt/c/Users/gayrobin/Documents/robingit/img-class-data-aug-comp/data/Aster/Aster (706).jpeg,0,Aster
/mnt/c/Users/gayrobin/Documents/robingit/img-class-data-aug-comp/data/Aster/Aster-Valid (18).jpeg,0,Aster
/mnt/c/Users/gayrobin/Documents/robingit/img-class-data-aug-comp/data/Aster/Aster-Valid (277).jpeg,0,Aster
/mnt/c/Users/gayrobin/Documents/robingit/img-class-data-aug-comp/data/Aster/Aster (170).jpeg,0,Aster
/mnt/c/Users/gayrobin/Documents/robingit/img-class-data-aug-comp/data/Aster/Aster (919).jpeg,0,Aster
/mnt/c/Users/gayrobin/Documents/robingit/img-class-data-aug-comp/data/Aster/Aster (307).jpeg,0,Aster
/mnt/c/Users/gayrobin/Documents/robingit/img-class-data-aug-comp/data/Aster/Aster-Valid (109).jpeg,0,Aster
/mnt/c/Users/gayrobin/Documents/robingit/img-class-data-aug-comp/data/Aster/Aster (605).jpeg,0,Aster
/mnt/c/Users/gayrobin/Documents/robingit/img-class-data-aug-comp/data/Aster/Aster-Valid (301).jpeg,0,Aster
/mnt/c/Users/gayrobin/Documents/robingit/img-class-data-aug-comp/data/Aster/Aster (1395).jpeg,0,Aster
/mnt/c/Users/gayrobin/Documents/robingit/img-class-data-aug-comp/data/Aster/Aster (994).jpeg,0,Aster
/mnt/c/Users/gayrobin/Documents/robingit/img-class-data-aug-comp/data/Aster/Aster (1297).jpeg,0,Aster
/mnt/c/Users/gayrobin/Documents/robingit/img-class-data-aug-comp/data/Aster/Aster-Valid (294).jpeg,0,Aster
/mnt/c/Users/gayrobin/Documents/robingit/img-class-data-aug-comp/data/Aster/Aster (537).jpeg,0,Aster
/mnt/c/Users/gayrobin/Documents/robingit/img-class-data-aug-comp/data/Aster/Aster-Test (105).jpeg,0,Aster
/mnt/c/Users/gayrobin/Documents/robingit/img-class-data-aug-comp/data/Aster/Aster (380).jpeg,0,Aster
/mnt/c/Users/gayrobin/Documents/robingit/img-class-data-aug-comp/data/Aster/Aster-Test (63).jpeg,0,Aster
/mnt/c/Users/gayrobin/Documents/robingit/img-class-data-aug-comp/data/Aster/Aster (451).jpeg,0,Aster
/mnt/c/Users/gayrobin/Documents/robingit/img-class-data-aug-comp/data/Aster/Aster (276).jpeg,0,Aster
/mnt/c/Users/gayrobin/Documents/robingit/img-class-data-aug-comp/data/Aster/Aster (838).jpeg,0,Aster
/mnt/c/Users/gayrobin/Documents/robingit/img-class-data-aug-comp/data/Aster/Aster-Test (29).jpeg,0,Aster
/mnt/c/Users/gayrobin/Documents/robingit/img-class-data-aug-comp/data/Aster/Aster (662).jpeg,0,Aster
/mnt/c/Users/gayrobin/Documents/robingit/img-class-data-aug-comp/data/Aster/Aster (1288).jpeg,0,Aster
/mnt/c/Users/gayrobin/Documents/robingit/img-class-data-aug-comp/data/Aster/Aster (1153).jpeg,0,Aster
/mnt/c/Users/gayrobin/Documents/robingit/img-class-data-aug-comp/data/Aster/Aster-Valid (275).jpeg,0,Aster
/mnt/c/Users/gayrobin/Documents/robingit/img-class-data-aug-comp/data/Aster/Aster-Test (73).jpeg,0,Aster
/mnt/c/Users/gayrobin/Documents/robingit/img-class-data-aug-comp/data/Aster/Aster (1036).jpeg,0,Aster
/mnt/c/Users/gayrobin/Documents/robingit/img-class-data-aug-comp/data/Aster/Aster (369).jpeg,0,Aster
/mnt/c/Users/gayrobin/Documents/robingit/img-class-data-aug-comp/data/Aster/Aster (755).jpeg,0,Aster
/mnt/c/Users/gayrobin/Documents/robingit/img-class-data-aug-comp/data/Aster/Aster-Valid (443).jpeg,0,Aster
/mnt/c/Users/gayrobin/Documents/robingit/img-class-data-aug-comp/data/Aster/Aster-Valid (76).jpeg,0,Aster
/mnt/c/Users/gayrobin/Documents/robingit/img-class-data-aug-comp/data/Aster/Aster-Test (109).jpeg,0,Aster
/mnt/c/Users/gayrobin/Documents/robingit/img-class-data-aug-comp/data/Aster/Aster-Test (102).jpeg,0,Aster
/mnt/c/Users/gayrobin/Documents/robingit/img-class-data-aug-comp/data/Aster/Aster (158).jpeg,0,Aster
/mnt/c/Users/gayrobin/Documents/robingit/img-class-data-aug-comp/data/Aster/Aster-Valid (474).jpeg,0,Aster
/mnt/c/Users/gayrobin/Documents/robingit/img-class-data-aug-comp/data/Aster/Aster (421).jpeg,0,Aster
/mnt/c/Users/gayrobin/Documents/robingit/img-class-data-aug-comp/data/Aster/Aster (203).jpeg,0,Aster
/mnt/c/Users/gayrobin/Documents/robingit/img-class-data-aug-comp/data/Aster/Aster-Valid (52).jpeg,0,Aster
/mnt/c/Users/gayrobin/Documents/robingit/img-class-data-aug-comp/data/Aster/Aster (946).jpeg,0,Aster
/mnt/c/Users/gayrobin/Documents/robingit/img-class-data-aug-comp/data/Aster/Aster-Valid (342).jpeg,0,Aster
/mnt/c/Users/gayrobin/Documents/robingit/img-class-data-aug-comp/data/Aster/Aster (1242).jpeg,0,Aster
/mnt/c/Users/gayrobin/Documents/robingit/img-class-data-aug-comp/data/Aster/Aster (129).jpeg,0,Aster
